id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie,roznica_od_wzorcowego,data_czas
12295,Białystok,2024-09-07,15,27.7,3,100,29.1,0,1021.5,8.25,2024-09-07 15:00:00
12600,Bielsko Biała,2024-09-07,15,26.3,3,100,44.0,0,1015.9,2.65,2024-09-07 15:00:00
12235,Chojnice,2024-09-07,15,28.4,3,130,35.1,0,1016.6,3.35,2024-09-07 15:00:00
12550,Częstochowa,2024-09-07,15,28.9,3,90,33.1,0,1015.8,2.55,2024-09-07 15:00:00
12160,Elbląg,2024-09-07,15,27.4,5,140,35.1,0,1018.5,5.25,2024-09-07 15:00:00
12155,Gdańsk,2024-09-07,15,29,6,130,34.1,0,1017.8,4.55,2024-09-07 15:00:00
12300,Gorzów,2024-09-07,15,29.6,4,160,33.1,0,1014.6,1.35,2024-09-07 15:00:00
12135,Hel,2024-09-07,15,23.7,4,80,71.1,0,1018.6,5.35,2024-09-07 15:00:00
12500,Jelenia Góra,2024-09-07,15,27.7,4,160,40.9,0,1013.6,0.35,2024-09-07 15:00:00
12435,Kalisz,2024-09-07,15,29.5,3,100,36.0,0,1015.6,2.35,2024-09-07 15:00:00
12650,Kasprowy Wierch,2024-09-07,15,13.1,3,250,73.8,0,,,2024-09-07 15:00:00
12560,Katowice,2024-09-07,14,29.7,4,110,33.1,0,1015.8,2.55,2024-09-07 14:00:00
12185,Kętrzyn,2024-09-07,15,28.4,5,130,30.0,0,1020.1,6.85,2024-09-07 15:00:00
12570,Kielce,2024-09-07,15,28.4,4,140,34.1,0,1017.3,4.05,2024-09-07 15:00:00
12520,Kłodzko,2024-09-07,15,28.8,7,170,36.1,0,1014,0.75,2024-09-07 15:00:00
12345,Koło,2024-09-07,15,29.9,5,150,30.0,0,1016.3,3.05,2024-09-07 15:00:00
12100,Kołobrzeg,2024-09-07,15,19.8,5,90,62.2,0,1015.5,2.25,2024-09-07 15:00:00
12105,Koszalin,2024-09-07,15,29,4,130,37.9,0,1015.9,2.65,2024-09-07 15:00:00
12488,Kozienice,2024-09-07,15,29.9,3,150,28.0,0,1018.2,4.95,2024-09-07 15:00:00
12566,Kraków,2024-09-07,15,28.9,4,80,32.0,0,1016.3,3.05,2024-09-07 15:00:00
12670,Krosno,2024-09-07,15,27.5,4,110,32.1,0,1017.7,4.45,2024-09-07 15:00:00
12415,Legnica,2024-09-07,15,29.7,4,110,36.1,0,1013.8,0.55,2024-09-07 15:00:00
12690,Lesko,2024-09-07,15,26.8,1,120,38.1,0,1018.2,4.95,2024-09-07 15:00:00
12418,Leszno,2024-09-07,14,30,4,150,37.8,0,1015,1.75,2024-09-07 14:00:00
12125,Lębork,2024-09-07,15,29.2,3,120,28.0,0,1017.2,3.95,2024-09-07 15:00:00
12495,Lublin,2024-09-07,15,28.2,4,140,31.0,0,1018.8,5.55,2024-09-07 15:00:00
12120,Łeba,2024-09-07,15,27.2,4,90,51.1,0,1017.4,4.15,2024-09-07 15:00:00
12465,Łódź,2024-09-07,15,29.2,4,100,32.1,0,1016.4,3.15,2024-09-07 15:00:00
